Vessel #,Vessel,,,,
0075,MT MTM HONGKONG,MT MTM HONGKONG_[0075],,,0075
0076,MTKR ATLANTICA BREEZE,MTKR ATLANTICA BREEZE_[0076],,,0076
0077,MT VELA,MT VELA_[0077],,,0077
0078,MT GRAND ACE 11,MT GRAND ACE 11_[0078],,,0078
0079,MT DORADO,MT DORADO_[0079],,,0079
0080,MTKR DORADO,MTKR DORADO_[0080],,,0080
0081,MV APOLLO FIRST,MV APOLLO FIRST_[0081],,,0081
0082,MTKR MARISEL,MTKR MARISEL_[0082],,,0082
0083,MV BELRAY,MV BELRAY_[0083],,,0083
0084,MTKR CEPOLIS,MTKR CEPOLIS_[0084],,,0084
0085,MV MY KONOS WAVE,MV MY KONOS WAVE_[0085],,,0085
0086,MV QUANG MINH 5,MV QUANG MINH 5_[0086],,,0086
0087,MT FS 2,MT FS 2_[0087],,,0087
0088,MV AS ELENIA,MV AS ELENIA_[0088],,,0088
0089,MT RHINE,MT RHINE_[0089],,,0089
0090,MT KARDIANI,MT KARDIANI_[0090],,,0090
0091,MV TRUONG LOC 16,MV TRUONG LOC 16_[0091],,,0091
0092,MT CHALLENGE PROSPECT,MT CHALLENGE PROSPECT_[0092],,,0092
0093,MTKR MTC APITONG,MTKR MTC APITONG_[0093],,,0093
0094,MV REMY ENTERPRISE,MV REMY ENTERPRISE_[0094],,,0094
0095,MV SATURN,MV SATURN_[0095],,,0095
0096,MV XIN AN YUAN,MV XIN AN YUAN_[0096],,,0096
0097,MT NORD VANGUARD,MT NORD VANGUARD_[0097],,,0097
0098,MV MP STAR,MV MP STAR_[0098],,,0098
0099,MV LI XIANG,MV LI XIANG_[0099],,,0099
0100,MV PEACE,MV PEACE_[0100],,,0100
0101,MT HIGH PROSPERITY,MT HIGH PROSPERITY_[0101],,,0101
0102,MT OKEE ULF,MT OKEE ULF_[0102],,,0102
0103,MV MAGIC THUNDER,MV MAGIC THUNDER_[0103],,,0103
0104,MV DIANTHUS,MV DIANTHUS_[0104],,,0104
0105,MT LITTLE MILL,MT LITTLE MILL_[0105],,,0105
0106,MT WECO MALOU,MT WECO MALOU_[0106],,,0106
0107,MT YM JUPITER,MT YM JUPITER_[0107],,,0107
0108,MT CHELSEA ENDURANCE,MT CHELSEA ENDURANCE_[0108],,,0108
0109,MT EMERALD EXPRESS,MT EMERALD EXPRESS_[0109],,,0109
0110,MV CALA PICCOLA,MV CALA PICCOLA_[0110],,,0110
0111,FEDERAL ILLINOIS,FEDERAL ILLINOIS_[0111],,,0111
0112,MT AKATSUKI MARU,MT AKATSUKI MARU_[0112],,,0112
0113,MV HG PERTH,MV HG PERTH_[0113],,,0113
0114,MT METIS,MT METIS_[0114],,,0114
0115,MT PANGLAO ISLAND,MT PANGLAO ISLAND_[0115],,,0115
0116,MT MARINGAL,MT MARINGAL_[0116],,,0116
0117,MV GREEN BRAZIL,MV GREEN BRAZIL_[0117],,,0117
0118,MT JAG PRAKASH,MT JAG PRAKASH_[0118],,,0118
0119,MT WINNER,MT WINNER_[0119],,,0119
0120,MV SANTA BARBARA,MV SANTA BARBARA_[0120],,,0120
